Frame (60^-1s),Volume (cm^-3)
0,10890.36
1,10972.63
2,9482.893
3,10268.6
4,9926.417
5,10419.41
6,10169.31
7,10601.44
8,10561.73
9,10047.52
10,10074.55
11,9852.903
12,9785.732
13,9415.418
14,8858.678
15,8387.365
16,8340.816
17,8320.946
18,8670.045
19,8572.855
20,8227.83
21,8208.806
22,8170.443
23,7947.795
24,7544.874
25,7472.138
26,7583.229
27,7502.052
28,7247.248
29,7503.252
30,7180.214
31,7172.12
32,7122.854
33,7174.465
34,7211.449
35,6851.063
36,6784.672
37,6703.455
38,6651.821
39,6502.22
40,6292.074
41,6257.011
42,6237.381
43,6116.624
44,6192.976
45,6162.412
46,6151.638
47,6082.096
48,6195.59
49,6266.565
50,6138.651
51,6046.738
52,6216.539
53,6025.412
54,5878.688
55,5901.499
56,5883.848
57,5622.171
58,5616.804
59,5449.096
60,5413.607
61,5568.993
62,5414.703
63,5339.54
64,5451.745
65,5531.654
66,5596.423
67,5650.15
68,5720.417
69,5558.932
70,5392.606
71,5477.547
72,5371.483
73,5221.895
74,5083.353
75,4884.219
76,4898.449
77,4985.5
78,5019.246
79,5047.098
80,5113.413
81,5210.188
82,5204.893
83,5216.965
84,5302.344
85,5373.118
86,5329.576
87,5136.267
88,5029.887
89,5119.843
90,4990.816
91,4936.635
92,4683.274
93,4816.47
94,4803.325
95,4836.686
96,4715.579
97,4847.184
98,4756.041
99,5004.818
100,4787.876
101,4930.514
102,4859.29
103,4942.717
104,4660.947
105,4789.15
106,4780.302
107,4781.787
108,4619.246
109,4557.917
110,4550.65
111,4438.753
112,4598.823
113,4629.037
114,4179.118
115,4678.395
116,4623.83
117,4477.591
118,4397.271
119,4332.161
120,4281.82
121,4404.411
122,4265.047
123,4256.711
124,4274.183
125,4303.087
126,4393.628
127,4389.573
128,4403.896
129,4416.562
130,4442.194
131,4499.377
132,4427.168
133,4348.083
134,4283.937
135,4248.367
136,4175.541
137,4175.854
138,4239.47
139,4002.672
140,4081.176
141,4217.836
142,4217.596
143,4210.34
144,4022.308
145,4011.012
146,4232.764
147,4203.826
148,4109.849
149,4140.585
150,4051.72
151,3915.416
152,4006.267
153,4102.283
154,3958.762
155,4062.817
156,3882.585
157,3877.88
158,4041.375
159,3906.923
160,4006.333
161,3920.214
162,3761.119
163,3990.605
164,3908.67
165,3850.628
166,3792.962
167,3784.829
168,3731.655
169,3657.341
170,3612.958
171,3618.994
172,3660.053
173,3711.39
174,3655.369
175,3677.057
176,3791.864
177,3711.794
178,3711.642
179,3590.875
180,3631.881
181,3577.504
182,3578.084
183,3504.828
184,3560.107
185,2954.573
186,3592.945
187,3606.832
188,3606.493
189,3093.351
190,3055.31
191,3067.139
192,3578.248
193,3613.731
194,3591.892
195,3580.053
196,3571.726
197,3573.905
198,3576.459
199,3580.565
200,3475.157
201,3467.694
202,3491.94
203,3513.415
204,3476.279
205,3448.319
206,3437.429
207,3451.428
208,3370.091
209,3326.967
210,3284.652
211,3445.068
212,3135.125
213,3135.878
214,3408.569
215,3458.563
216,3291.725
217,3470.374
218,3476.818
219,3460.029
220,3483.223
221,3519.217
222,3457.502
223,3465.346
224,3470.573
225,3471.628
226,3456.861
227,3426.966
228,3398.779
229,3310.445
230,3396.005
231,3403.708
232,3410.566
233,3421.453
234,3427.154
235,3407.272
236,2930.451
237,2834.934
238,3422.022
239,3400.766
240,3381.884
241,3422.228
242,3421.616
243,3379.39
244,3428.349
245,3429.85
246,3429.058
247,3365.308
248,3336.922
249,3266.572
250,3263.263
251,3316.302
252,3321.066
253,3274.195
254,3264.025
255,3238.686
256,3224.655
257,3214.802
258,3217.382
259,3224.779
260,3230.375
261,3227.655
262,3202.092
263,3174.435
264,3166.201
265,3217.282
266,3218.742
267,3163.141
268,3143.382
269,3178.846
270,3158.851
271,3143.201
272,3142.833
273,3155.031
274,3134.66
275,3150.114
276,3152.1
277,3139.522
278,3109.178
279,3087.883
280,3126.758
281,3129.025
282,3136.236
283,3042.917
284,3090.192
285,3074.472
286,3060.222
287,3058.774
288,3053.253
289,3051.087
290,3042.336
291,3090.601
292,3094.212
293,3099.6
294,3039.55
295,3020.874
296,2999.95
297,3033.453
298,3024.258
299,3018.738
300,2926.257
301,3096.132
302,3027.974
303,2607.309
304,2586.326
305,2971.656
306,2941.482
307,2923.697
308,2998.59
309,2980.556
310,2454.969
311,3000.188
